,is_home,is_home
,count,home_tweet_ratio
codigo,,
20011607.0,1021,0.14005876591576885
20011608.0,1258,0.30604133545310014
20011609.0,2684,0.029433681073025336
20011610.0,994,0.079476861167002
20011611.0,788,0.23223350253807107
20011612.0,475,0.11368421052631579
20011701.0,2189,0.5175879396984925
20011702.0,901,0.16204217536071033
20011703.0,869,0.22554660529344073
20011704.0,344,0.0
20011705.0,1156,0.5726643598615917
20011706.0,795,0.26540880503144654
20011707.0,758,0.28891820580474936
20011708.0,839,0.25148986889153757
20011709.0,224,0.33035714285714285
20011710.0,673,0.43684992570579495
20011711.0,806,0.03722084367245657
20011801.0,770,0.2675324675324675
20011802.0,993,0.5105740181268882
20011803.0,1884,0.3067940552016985
20011804.0,1181,0.3471634208298052
20011805.0,1026,0.5760233918128655
20011806.0,648,0.30709876543209874
20011807.0,795,0.2
20011808.0,753,0.3598937583001328
20011809.0,676,0.4896449704142012
20011901.0,689,0.5224963715529753
20011902.0,711,0.0759493670886076
20011903.0,368,0.08423913043478261
20011904.0,342,0.08187134502923976
20011905.0,8454,0.12928791104802462
20011906.0,1416,0.346045197740113
20011907.0,705,0.0
20011908.0,572,0.3531468531468531
20011909.0,575,0.7443478260869565
20012001.0,989,0.3902932254802831
20012002.0,607,0.032948929159802305
20012003.0,551,0.3176043557168784
20012004.0,463,0.2548596112311015
20012005.0,825,0.6630303030303031
20012006.0,547,0.4936014625228519
20012007.0,369,0.3821138211382114
20012008.0,1215,0.18436213991769548
20012009.0,1092,0.22527472527472528
20012010.0,1252,0.5135782747603834
20012101.0,860,0.30116279069767443
20012102.0,1579,0.12539582013932868
20012103.0,805,0.0
20012104.0,1223,0.08994276369582993
20012105.0,328,0.17378048780487804
20012106.0,681,0.12922173274596183
20012107.0,673,0.38930163447251115
20012108.0,1785,0.21288515406162464
20012109.0,349,0.0
20012110.0,1108,0.29061371841155237
20012201.0,1671,0.22920406941950927
20012202.0,723,0.2600276625172891
20012203.0,1106,0.2694394213381555
20012204.0,1029,0.3858114674441205
20012205.0,2817,0.059992900248491306
20012206.0,889,0.09111361079865017
20012207.0,552,0.1793478260869565
20012208.0,1447,0.45058742225293713
20012209.0,2173,0.21491026231017027
20012210.0,1687,0.6324836988737403
20012301.0,1763,0.1514463981849121
20012302.0,1202,0.36938435940099834
20012303.0,1720,0.29709302325581394
20012304.0,646,0.0
20012305.0,576,0.1579861111111111
20012306.0,839,0.12276519666269368
20012307.0,2220,0.42792792792792794
20012308.0,822,0.14841849148418493
20012309.0,486,0.0
20012310.0,545,0.0
20012401.0,898,0.5178173719376392
20012402.0,1584,0.2342171717171717
20012403.0,2322,0.11627906976744186
20012404.0,226,0.4469026548672566
20012405.0,586,0.3532423208191126
20012406.0,1652,0.11864406779661017
20012407.0,4089,0.1408657373440939
20012408.0,777,0.07464607464607464
20012501.0,468,0.3525641025641026
20012502.0,1606,0.029265255292652552
20012503.0,1517,0.42913645352669744
20012504.0,667,0.39730134932533734
20012505.0,1290,0.17209302325581396
20012506.0,740,0.22297297297297297
20012507.0,431,0.1368909512761021
20012508.0,264,0.5681818181818182
20012509.0,570,0.24210526315789474
20012510.0,978,0.5429447852760736
20012511.0,2281,0.256466462078036
20012601.0,1677,0.7531305903398927
20012602.0,1358,0.4491899852724595
20012603.0,742,0.7008086253369272
20012604.0,754,0.22811671087533156
20012605.0,1103,0.32456935630099726
20012606.0,1148,0.7412891986062717
20012607.0,179,0.0
20012608.0,877,0.34207525655644244
20012609.0,773,0.4087968952134541
20012701.0,178,0.5224719101123596
20012702.0,843,0.2431791221826809
20012703.0,659,0.3884673748103187
20012704.0,728,0.1813186813186813
20012705.0,311,0.42443729903536975
20012706.0,488,0.19057377049180327
20012707.0,484,0.2830578512396694
20012708.0,4588,0.07781168265039233
20012709.0,649,0.18335901386748846
20012710.0,820,0.3463414634146341
20012801.0,2150,0.5497674418604651
20012802.0,381,0.09711286089238845
